Select,CRN,Course,Course number,section,campus,credits,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date,Location,Attribute
NR	,10621	,CSC	,201	,11	,1	,1.000	,Computer Applications	,M	,09:00 am-09:50 am	,25	,5	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10622	,CSC	,201	,12	,1	,1.000	,Computer Applications	,M	,10:00 am-10:50 am	,25	,4	,21	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10623	,CSC	,201	,13	,1	,1.000	,Computer Applications	,M	,11:00 am-11:50 am	,25	,5	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10624	,CSC	,201	,14	,1	,1.000	,Computer Applications	,M	,12:00 pm-12:50 pm	,25	,14	,11	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10625	,CSC	,201	,15	,1	,1.000	,Computer Applications	,T	,09:30 am-10:20 am	,25	,8	,17	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10626	,CSC	,201	,16	,1	,1.000	,Computer Applications	,T	,11:00 am-11:50 am	,25	,7	,18	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10627	,CSC	,201	,17	,1	,1.000	,Computer Applications	,W	,09:00 am-09:50 am	,25	,8	,17	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10628	,CSC	,201	,18	,1	,1.000	,Computer Applications	,W	,10:00 am-10:50 am	,25	,3	,22	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10629	,CSC	,201	,19	,1	,1.000	,Computer Applications	,W	,11:00 am-11:50 am	,25	,1	,24	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10630	,CSC	,201	,20	,1	,1.000	,Computer Applications	,W	,12:00 pm-12:50 pm	,25	,11	,14	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10631	,CSC	,201	,21	,1	,1.000	,Computer Applications	,R	,09:30 am-10:20 am	,25	,3	,22	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10632	,CSC	,201	,22	,1	,1.000	,Computer Applications	,R	,11:00 am-11:50 am	,25	,2	,23	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10633	,CSC	,201	,23	,1	,1.000	,Computer Applications	,F	,09:00 am-09:50 am	,25	,0	,25	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10634	,CSC	,201	,24	,1	,1.000	,Computer Applications	,F	,10:00 am-10:50 am	,25	,0	,25	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10635	,CSC	,201	,25	,1	,1.000	,Computer Applications	,F	,11:00 am-11:50 am	,25	,2	,23	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10636	,CSC	,201	,26	,1	,1.000	,Computer Applications	,F	,12:00 pm-12:50 pm	,25	,3	,22	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10637	,CSC	,201	,31	,2	,1.000	,Computer Applications	,M	,03:00 pm-03:50 pm	,18	,6	,12	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10638	,CSC	,201	,32	,2	,1.000	,Computer Applications	,W	,03:00 pm-03:50 pm	,18	,6	,12	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10639	,CSC	,201	,33	,2	,1.000	,Computer Applications	,M	,01:00 pm-01:50 pm	,18	,15	,3	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10640	,CSC	,201	,34	,2	,1.000	,Computer Applications	,F	,01:00 pm-01:50 pm	,18	,9	,9	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10641	,CSC	,201	,35	,2	,1.000	,Computer Applications	,W	,12:00 pm-12:50 pm	,18	,4	,14	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10642	,CSC	,201	,36	,2	,1.000	,Computer Applications	,T	,11:00 am-11:50 am	,18	,10	,8	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10643	,CSC	,201	,37	,2	,1.000	,Computer Applications	,M	,12:00 pm-12:50 pm	,18	,17	,1	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10644	,CSC	,243	,11	,1	,3.000	,Intr. Object Oriented Program.	,MWF	,09:00 am-09:50 am	,40	,1	,39	,15	,0	,15	,40	,2	,38	,TBA	,08/31-12/08	,103 404	,	
NR	,10645	,CSC	,243	,12	,1	,3.000	,Intr. Object Oriented Program.	,MWF	,09:00 am-09:50 am	,40	,2	,38	,15	,0	,15	,40	,2	,38	,TBA	,08/31-12/08	,103 520	,	
NR	,10646	,CSC	,243	,13	,1	,3.000	,Intr. Object Oriented Program.	,MWF	,11:00 am-11:50 am	,40	,3	,37	,15	,0	,15	,40	,4	,36	,TBA	,08/31-12/08	,103 502	,	
NR	,10647	,CSC	,243	,14	,1	,3.000	,Intr. Object Oriented Program.	,MWF	,11:00 am-11:50 am	,40	,0	,40	,15	,0	,15	,40	,0	,40	,TBA	,08/31-12/08	,103 520	,	
NR	,10648	,CSC	,243	,15	,1	,3.000	,Intr. Object Oriented Program.	,TR	,11:00 am-12:15 pm	,40	,4	,36	,0	,0	,0	,40	,5	,35	,TBA	,08/31-12/08	,103 502	,	
NR	,10649	,CSC	,243	,16	,1	,3.000	,Intr. Object Oriented Program.	,TR	,11:00 am-12:15 pm	,40	,2	,38	,0	,0	,0	,40	,2	,38	,TBA	,08/31-12/08	,103 520	,	
NR	,10650	,CSC	,243	,31	,2	,3.000	,Intr. Object Oriented Program.	,MWF	,01:00 pm-01:50 pm	,40	,1	,39	,15	,0	,15	,40	,1	,39	,Joseph Toufic Khalifeh (P)	,08/31-12/08	,204 0503	,	
NR	,10651	,CSC	,243	,32	,2	,3.000	,Intr. Object Oriented Program.	,TR	,02:00 pm-03:15 pm	,40	,1	,39	,0	,0	,0	,40	,3	,37	,Joseph Toufic Khalifeh (P)	,08/31-12/08	,204 0404	,	
NR	,10652	,CSC	,243B	,11A	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,0	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10653	,CSC	,243B	,11B	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,1	,19	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10654	,CSC	,243B	,12A	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,2	,18	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10655	,CSC	,243B	,12B	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,0	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10656	,CSC	,243B	,13A	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,3	,17	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10657	,CSC	,243B	,13B	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,0	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10658	,CSC	,243B	,14A	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,0	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10659	,CSC	,243B	,14B	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,0	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10660	,CSC	,243B	,15A	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,05:00 pm-07:59 pm	,20	,4	,16	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10661	,CSC	,243B	,15B	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,05:00 pm-07:59 pm	,20	,0	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10662	,CSC	,243B	,16A	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,05:00 pm-07:59 pm	,20	,2	,18	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
